PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240130,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,15900,18.0,kg,10.0,개,N,20240214065934
20240202,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,19710,18.0,kg,10.0,개,N,20240217065957
20240205,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,19710,18.0,kg,10.0,개,N,20240220065942
20240206,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,19710,18.0,kg,10.0,개,N,20240221112510
20240207,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,19710,18.0,kg,10.0,개,N,20240222065940
20240208,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,19710,18.0,kg,10.0,개,N,20240223065943
20240325,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,16800,18.0,kg,10.0,개,N,20240409070549
20240326,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,16800,18.0,kg,10.0,개,N,20240410070524
20240327,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,16800,18.0,kg,10.0,개,N,20240411070522
20240328,306,380402,C-유통,38,경남,3814,창원,421,오렌지,3,네이블 미국,1,소매,4,상품,16800,18.0,kg,10.0,개,N,20240412070542
